rn,odofbrn,sptno,cno,cwknm,orcd,ornm,rutcd,rutnm,pdznnm,bzkdcd,bzkdnm,bztocd,stwrdt,ccwdt,ccwxpcdt,ccwyn,ccwynnm,bzarcd,bzarnm,cwksctnnm
109,6048300784,C2012024,C2012023,구미시관내 국도대체우회도로(구포-생곡2)건설공사,B,부산청,033,국도 33호선(고성 ~ 구미),경상북도 구미시,D,국도대체우회도로,미등록,2012-02-24,2021-05-31,20190117,1,완료공사,101,도로,경북 구미시 고아읍 송림리~경북 구미시 선산읍 이문리
110,2248301909,C2000016,C2000016,구성포-두촌간 도로확장 및 포장공사,W,원주청,044,국도 44호선(양평 ~ 양양),강원도 홍천군,B,지역간선,08,2000-12-29,2007-12-31,20071231,1,완료공사,101,도로,강원도 홍천군 화촌면 구성포리~강원도 홍천군 두촌면 역내리
111,1108300348,C2004045,C2004045,구조물 보강공사,S,서울청,R1,임진강,경기도 파주시,R1,임진강,01,2004-11-19,2009-02-16,20090216,1,완료공사,102,하천,~
112,4038301161,C2010033,C2010113,국가하천 고막원천 금곡1제외 3개지구 기성제방보강공사,I,익산청,E1,영산강,전라남도 함평군,E1,영산강,01,2010-07-29,2013-07-12,20130712,1,완료공사,102,하천,함평군 나산면 삼축리~나주시 문평면 송산리
113,4038301161,C2004114,C2004114,국가하천 만경강 화전제 기성제방 보강공사,I,익산청,H1,만경강,전라북도 전주시 덕진구,H1,만경강,03,2004-11-02,2007-10-16,20071016,1,완료공사,102,하천,전주시 덕진구 화전동 굴신리~전주시 덕진구 화전동 신성리
114,4038301161,C2011008,C2011002,국가하천 지석천 죽청제 보강공사,I,익산청,E1,영산강,전라남도 화순군,E1,영산강,01,2010-12-21,2013-12-04,20130520,1,완료공사,102,하천,도곡면 죽청리~도곡면 신덕리
115,3068301763,C2004058,C2004058,국도 34호선 괴산-연풍(1공구) 도로건설공사,D,대전청,034,국도 34호선(당진 ~ 영덕),충청북도 괴산군,C,산업지원국도,00,2004-10-01,2013-08-13,20130813,1,완료공사,101,도로,괴산군괴산읍대덕리~괴산군칠성면태성리
116,6048300784,C1999024,C1999024,국도 35호선 도계-경주간 국도4차로 확장공사,B,부산청,035,국도 35호선(부산 ~ 강릉),경상북도 경주시,A,일반국도,01,1999-05-15,2006-12-31,20061231,1,완료공사,101,도로,경주시 내남면 이조리~경주시 탑정동
117,4038301161,C2004103,C2004103,국도 77호선 돌산-화태간 연도교 가설공사,I,익산청,077,국도 77호선(부산 ~ 인천),전라남도 여수시,A,일반국도,00,2004-10-26,2015-12-30,20151230,1,완료공사,101,도로,전남 여수시 돌산읍 신복리~전남 여수시 남면 화태리
118,2248301909,C2004056,C2004056,국도 7호선 현내-송현진Ⅰ도로 건설공사,W,원주청,007,국도 7호선(부산 ~ 온성 (간성)),강원도 고성군,B,지역간선,00,2004-02-03,2015-06-22,20150622,1,완료공사,101,도로,현내면 대진리~현내면 명파리
119,4038301161,C1999025,C1999025,국도13호선 대전-담양간 도로 확·포장공사,I,익산청,013,국도 13호선(완도 ~ 금산),전라남도 담양군,B,지역간선,08,1999-05-11,2007-12-31,20071231,1,완료공사,101,도로,광주광역시 북구 월출동~전남 담양군 담양읍 백동리
120,4038301161,C2017019,C2017020,국도17호선 돌산대교 성능개선공사,I,익산청,017,국도 17호선(여천 ~ 용인),전라남도 여수시,A,일반국도,00,2016-12-28,2020-12-24,20201206,1,완료공사,101,도로,돌산대교(여수)~돌산대교(돌산)
121,4038301161,C2020016,C2020013,국도17호선 여수 만덕교차로 개선공사,I,익산청,017,국도 17호선(여천 ~ 용인),전라남도 여수시,A,일반국도,00,2020-06-29,2023-06-13,20230613,0,진행공사,101,도로,전라남도 여수시 덕충동 만덕사거리 일원~
122,4038301161,C2000021,C2000021,국도24호선 순창 적성우회도로건설공사,I,익산청,024,국도 24호선(신안 ~ 울산),전라북도 순창군,A,일반국도,00,2000-12-26,2005-12-31,20051231,1,완료공사,101,도로,전라남도 담양군~전라남도 순창군
123,4038301161,C2004106,C2004106,국도27.23호선 벌교-주암2(용산우회) 도로건설공사,I,익산청,027,국도 27호선(고흥 ~ 군산),전라남도 순천시,A,일반국도,00,2004-12-08,2016-10-31,20161031,1,완료공사,101,도로,전남 순천시 외서면 금성리~전남 순천시 송광면 이읍리
124,6048300784,C2004077,C2004077,국도2호선 현동-임곡2 국도건설공사,B,부산청,002,국도 2호선(목포 ~ 부산),경상남도 창원시,A,일반국도,01,2004-11-08,2012-12-31,20121130,1,완료공사,101,도로,경남 창원시 마산합포구 진동면 인곡리~경남 창원시 마산합포구 우산동
125,2248301909,C2017013,C2017009,국도31호선 방림-장평1 도로건설공사,W,원주청,031,국도 31호선(부산 ~ 신고산),강원도 평창군,A,일반국도,01,2017-03-09,2021-02-15,20210215,1,완료공사,101,도로,방림면 방림리~대화면 대화리
126,2248301909,C2017014,C2017010,국도31호선 방림-장평2 도로건설공사,W,원주청,031,국도 31호선(부산 ~ 신고산),강원도 평창군,A,일반국도,01,2017-03-09,2021-02-15,20210215,1,완료공사,101,도로,대화면 대화리~용평면 장평리
127,2248301909,C2020013,C2020012,국도31호선 양구-원통 도로건설공사,W,원주청,999,기타,강원도 인제군,A,일반국도,00,2020-05-18,2027-04-11,20270411,0,진행공사,101,도로,강원도 인제군 인제읍 합강리 50-2~강원도 인제군 인제읍 가아리 924-4
128,2248301909,C2015004,C2015016,국도31호선 오미재터널 도로건설공사,W,원주청,031,국도 31호선(부산 ~ 신고산),강원도 인제군,A,일반국도,01,2014-12-30,2019-06-20,20191203,1,완료공사,101,도로,강원 인제 상남면 상남리~강원 인제 상남면 하남리
129,6048300784,C2019005,C2019011,국도31호선 장안-서생 이설공사,B,부산청,,,부산광역시 기장군,A,일반국도,00,2019-01-21,2024-12-19,20241219,0,진행공사,101,도로,부산광역시 기장군 장안읍 길천리 300~울산광역시 울주군 서생면 신암리 239-29
130,3068301763,C2004060,C2004060,국도32. 40호선 신양-신풍 도로 건설공사,D,대전청,032,국도 32호선(서산 ~ 대전),충청남도 공주시,A,일반국도,00,2004-10-07,2014-12-31,20150101,1,완료공사,101,도로,예산군 신양면 대덕리~공주시 신풍면 산정리
131,1108300348,C2021027,C2021026,국도38호선 평택 오성-고덕 도로확장공사,S,서울청,038,국도 38호선(서산 ~ 동해),,A,일반국도,01,2021-05-31,2027-04-29,20270429,0,진행공사,101,도로,~
132,6048300784,C2020006,C2020009,국도3호선 김천-교리1 등 6개 국도건설공사 사후평가용역,B,부산청,,,,A,일반국도,01,,,,0,진행공사,101,도로,~
133,1108300348,C2021006,C2020033,국도3호선 동이천IC 도로건설공사,S,서울청,003,국도 3호선(남해 ~ 초산 (철원)),,A,일반국도,00,2020-10-07,2025-09-10,20250910,0,진행공사,101,도로,~
134,1108300348,C2020010,C2019016,국도3호선 연천-신탄리2 도로건설공사,S,서울청,003,국도 3호선(남해 ~ 초산 (철원)),경기도 연천군,A,일반국도,01,2020-02-25,2025-02-22,20250222,0,진행공사,101,도로,경기도 연천군 신서면 도신리 426-1~경기도 연천군 도신로 49-2
135,1108300348,C2021040,C2021036,국도3호선대체우회도로(민락2지구) 소음저감시설 설치공사,S,서울청,003,국도 3호선(남해 ~ 초산 (철원)),경기도 의정부시,A,일반국도,01,2021-10-08,2024-10-06,20241006,0,진행공사,101,도로,~
136,2248301909,C2018023,C2018025,국도42호선 정선-북면간 2차로 시설개량공사,W,원주청,042,국도 42호선(인천 ~ 동해),강원도 정선군,A,일반국도,01,2018-07-30,2023-07-03,20230703,0,진행공사,101,도로,강원도 정선군 정선읍 덕송리 629-2~강원도 정선군 여량면 여량리 343-10
137,2248301909,C2020011,C2020007,국도42호선 횡성 안흥-방림1 도로건설공사,W,원주청,042,국도 42호선(인천 ~ 동해),강원도 강릉시,A,일반국도,01,2020-05-14,2027-04-07,20270407,0,진행공사,101,도로,강원도 횡성군 안흥면 안흥리~강원도 평창군 방림면 운교리
138,2248301909,C2020008,C2020008,국도42호선 횡성 안흥-방림2 도로건설공사,W,원주청,042,국도 42호선(인천 ~ 동해),강원도 평창군,A,일반국도,01,2020-03-02,2027-01-24,20270124,0,진행공사,101,도로,강원도 평창군 방림면 운교리~강원도 평창군 방림면 방림리
139,2248301909,C2006025,C2006024,국도44호선 어론-남전간 수해복구공사,W,원주청,044,국도 44호선(양평 ~ 양양),강원도 인제군,A,일반국도,미등록,2006-01-01,2006-12-31,20061231,1,완료공사,101,도로,어론~남전
140,1108300348,C2013926,C2013006,국도45호선 평택동삭교차로 개선공사,S,서울청,045,국도 45호선(서산 ~ 가평),경기도 평택시,A,일반국도,00,2012-11-15,2013-12-23,20131223,1,완료공사,101,도로,경기도 평택시 동삭동~경기도 평택시 칠원동
141,6048300784,C2019004,C2019006,국도4호선 경주 장항리지내 수해복구공사,B,부산청,004,국도 4호선(군산 ~ 경주),경상북도 경주시,A,일반국도,00,2019-02-25,2020-10-22,20200224,1,완료공사,101,도로,경상북도 경주시 양북면 장항리 365-11~경상북도 경주시 양북면 장항리 337-2
142,2248301909,C2020035,C2020034,국도56호선 춘천 지촌-사내 도로건설공사,W,원주청,056,국도 56호선(철원 ~ 양양),강원도 춘천시,A,일반국도,01,2020-08-03,2025-07-07,20250707,0,진행공사,101,도로,강원도 춘천시 사북면 지촌리 92-1~강원도 춘천시 사북면 오탄리 192-9
143,2248301909,C2018012,C2018013,국도56호선 홍천 서석 우회도로 건설공사 건설사업관리용역,W,원주청,056,국도 56호선(철원 ~ 양양),강원도 홍천군,A,일반국도,01,2018-03-26,2021-12-16,20210309,1,완료공사,101,도로,강원도 홍천군 서석면 풍암리 841-10~강원도 홍천군 서석면 풍암리 61-4
144,2248301909,C2014018,C2014022,국도59호선 나전-숙암 도로건설공사,W,원주청,059,국도 59호선(광양 ~ 하동),강원도 정선군,B,지역간선,08,2014-02-07,2018-01-16,20180116,1,완료공사,101,도로,나전리 일원~숙암리 일원
145,2248301909,C2017041,C2017045,국도59호선 남면-정선1 도로건설공사,W,원주청,059,국도 59호선(광양 ~ 하동),강원도 정선군,A,일반국도,01,2017-07-28,2023-12-31,20240620,0,진행공사,101,도로,정선군 남면 유평리~정선군 남면 낙동리
146,2248301909,C2017042,C2017041,국도59호선 남면-정선2 도로건설공사,W,원주청,059,국도 59호선(광양 ~ 하동),강원도 정선군,A,일반국도,01,2017-07-06,2024-05-29,20240529,0,진행공사,101,도로,강원도 정선군 정선읍 덕우리 710~강원도 정선군 정선읍 신월리 239
147,2248301909,C2014020,C2014023,국도59호선 숙암-막동 도로건설공사,W,원주청,059,국도 59호선(광양 ~ 하동),강원도 평창군,B,지역간선,08,2014-02-21,2018-01-30,20180130,1,완료공사,101,도로,정선군 북평면 숙암리~평창군 진부면 막동리
148,2248301909,C2018006,C2018005,국도59호선 정선3교 개설공사,W,원주청,059,국도 59호선(광양 ~ 하동),강원도 정선군,A,일반국도,01,2018-03-02,2022-02-08,20220208,1,완료공사,101,도로,강원도 정선군 정선읍 덕송리 594~강원도 정선군 녹송로 121
149,2248301909,C2021041,C2021037,국도5호선 신림-판부1 도로건설공사,W,원주청,005,국도 5호선(마산 ~ 중강진(김화)),강원도 원주시,A,일반국도,01,2021-08-13,2026-07-17,20260717,0,진행공사,101,도로,강원도 원주시 신림면 신림리 694-1~강원도 원주시 판부면 금대리 530-1
150,2248301909,C2021042,C2021038,국도5호선 신림-판부2 도로건설공사,W,원주청,005,국도 5호선(마산 ~ 중강진(김화)),,A,일반국도,01,,,,0,진행공사,101,도로,~
151,2248301909,C2018026,C2018029,국도5호선 춘천-화천1 도로건설공사,W,원주청,005,국도 5호선(마산 ~ 중강진(김화)),강원도 춘천시,A,일반국도,01,2018-09-03,2025-07-27,20250727,0,진행공사,101,도로,강원도 춘천시 서면 오월리~강원도 춘천시 사북면 원평리
152,2248301909,C2018024,C2018030,국도5호선 춘천-화천2 도로건설공사,W,원주청,,,강원도 춘천시,A,일반국도,01,2018-09-03,2025-07-27,20250727,0,진행공사,101,도로,강원도 춘천시 사북면 원평리 409~강원도 화천군 하남면 서오지리 17-1
153,2248301909,C2018025,C2018031,국도5호선 춘천-화천3 도로건설공사,W,원주청,,,강원도 화천군,A,일반국도,01,2018-09-03,2025-07-27,20250727,0,진행공사,101,도로,강원 화천군 하남면서오지리~강원 화천군 화천읍 하리
154,2248301909,C2016006,C2016007,"국도6,59호선 평창, 진부, 상진부리[진부시가지 단구간] 확장공사",W,원주청,006,국도 6호선(인천 ~ 강릉),강원도 평창군,A,일반국도,01,2015-12-21,2017-09-29,20170929,1,완료공사,101,도로,진부면 하진부리~진부면 상진부리
155,2248301909,C2004054,C2004054,국도6호선 두능-연곡 도로건설공사,W,원주청,006,국도 6호선(인천 ~ 강릉),강원도 강릉시,A,일반국도,01,2004-12-02,2017-12-31,20171231,1,완료공사,101,도로,강릉시 연곡면 삼산리~강릉시 연곡면 방내리
156,2248301909,C2014033,C2014011,국도6호선 둔내-무이1 도로건설공사,W,원주청,006,국도 6호선(인천 ~ 강릉),강원도 횡성군,A,일반국도,01,2014-06-11,2017-08-30,20170830,1,완료공사,101,도로,강원도 횡성군 둔내면 현천리~둔내면 화동리
157,2248301909,C2014031,C2014014,국도6호선 둔내-무이2 도로건설공사,W,원주청,006,국도 6호선(인천 ~ 강릉),강원도 횡성군,A,일반국도,01,2014-05-23,2017-12-30,20171230,1,완료공사,101,도로,강원도 횡성군 둔내면 화동리~강원도 평창군 봉평면 무이리
158,2248301909,C2014032,C2014015,국도6호선 무이-장평 도로건설공사,W,원주청,006,국도 6호선(인천 ~ 강릉),강원도 평창군,A,일반국도,01,2014-05-23,2018-01-31,20180131,1,완료공사,101,도로,강원도 평창군 봉평면 무이리~강원도 평창군 용평면 장평리
159,2248301909,C2012067,C2012073,국도6호선 서원-공근 도로건설공사,W,원주청,006,국도 6호선(인천 ~ 강릉),강원도 횡성군,A,일반국도,01,2012-11-15,2017-10-19,20171019,1,완료공사,101,도로,경기도 양평군 청운면 갈운리~강원도 횡성군 공근면 신촌리
160,2248301909,C2014036,C2014012,국도6호선 장평-간평1 도로건설공사,W,원주청,006,국도 6호선(인천 ~ 강릉),강원도 평창군,A,일반국도,01,2014-06-23,2017-12-03,20171203,1,완료공사,101,도로,강원도 평창군 용평면 장평리~강원도 평창군 용평면 이목정리
161,2248301909,C2014030,C2014035,국도6호선 장평-간평2 도로건설공사,W,원주청,006,국도 6호선(인천 ~ 강릉),강원도 평창군,A,일반국도,01,2014-05-30,2018-01-10,20171231,1,완료공사,101,도로,강원도 평창군 용평면 이목정리~강원도 평창군 진부면 하진부리
162,2248301909,C2014035,C2014013,국도6호선 장평-간평3 도로건설공사,W,원주청,006,국도 6호선(인천 ~ 강릉),강원도 평창군,A,일반국도,01,2014-06-20,2018-01-02,20171130,1,완료공사,101,도로,진부면 하진부리~진부면 간평리
163,2248301909,C2020026,C2020024,국도87호선 철원 오지-동송 도로건설공사,W,원주청,087,국도 87호선,강원도 철원군,A,일반국도,01,2020-09-21,2025-08-25,20250825,0,진행공사,101,도로,강원도 철원군 북원로 910-7~강원도 철원군 송학동1길 13
164,3068301763,C2002033,C2002033,국도대체 우회도로(용두-금가)건설공사,D,대전청,019,국도 19호선(남해 ~ 원주),충청북도 충주시,D,국도대체우회도로,00,2002-06-10,2013-12-30,20131230,1,완료공사,101,도로,충북 충주시 용두동~충북 충주시 금가면 사암리
